,Beach Name,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life
6505,Montrose Beach,17.0,0.76,1.6980000000000002,0.212,3.0,11.8
3027,Calumet Beach,21.4,1.04,1.48,0.109,2.0,10.6
3644,63rd Street Beach,15.9,0.91,1.5419999999999998,0.069,7.0,10.9
6737,Rainbow Beach,17.5,0.91,1.5119999999999998,0.06,7.0,11.2
4423,Calumet Beach,18.2,1.47,1.4509999999999998,0.081,5.0,12.7
3997,Calumet Beach,20.7,1.99,1.525,0.13699999999999998,3.0,10.2
8846,Ohio Street Beach,22.2,1.91,1.784,0.13,3.0,10.7
4598,63rd Street Beach,20.5,0.3,1.74,0.23800000000000002,3.0,12.2
5809,Ohio Street Beach,19.3,0.93,1.743,0.22899999999999998,3.0,11.5
138,Calumet Beach,17.0,1.7,1.516,0.113,3.0,11.6
2996,Rainbow Beach,21.8,0.9,1.588,0.145,3.0,11.0
4624,Ohio Street Beach,19.4,1.17,1.756,0.17600000000000002,3.0,12.3
11288,Osterman Beach,22.5,0.73,1.36,0.154,3.0,9.9
7349,Ohio Street Beach,17.7,3.75,1.733,0.122,3.0,11.1
2640,Osterman Beach,18.3,0.59,1.314,0.196,2.0,11.4
9898,Calumet Beach,22.4,1.22,1.476,0.22399999999999998,7.0,10.7
7487,Calumet Beach,19.2,2.22,1.435,0.08800000000000001,2.0,11.3
866,Ohio Street Beach,17.8,4.44,1.619,0.122,2.0,11.5
5618,Rainbow Beach,18.5,1.82,1.6,0.386,5.0,11.4
6510,63rd Street Beach,21.2,0.42,1.854,0.131,3.0,11.4
495,Ohio Street Beach,16.7,0.73,1.5290000000000001,0.096,3.0,12.2
9262,Ohio Street Beach,21.5,0.97,1.811,0.128,3.0,10.6
456,Ohio Street Beach,18.1,0.83,1.5490000000000002,0.14400000000000002,2.0,12.3
2248,Ohio Street Beach,18.0,0.67,1.695,0.109,3.0,11.1
833,Montrose Beach,15.9,14.29,1.555,0.23399999999999999,4.0,11.2
2131,63rd Street Beach,17.6,0.81,1.7180000000000002,0.19899999999999998,4.0,11.4
3468,Montrose Beach,16.0,0.4,1.284,0.225,3.0,10.6
8557,Calumet Beach,21.6,1.04,1.544,0.135,2.0,11.0
1323,Montrose Beach,17.3,1.3,1.561,0.171,4.0,11.1
5895,Calumet Beach,18.9,1.05,1.443,0.068,4.0,11.7
8579,Montrose Beach,21.4,1.79,1.7590000000000001,0.214,2.0,11.2
11561,Montrose Beach,17.1,0.26,1.6909999999999998,0.109,6.0,9.4
10227,Ohio Street Beach,22.9,3.81,1.777,0.22899999999999998,3.0,10.3
2008,Montrose Beach,17.7,1.07,1.655,0.16,3.0,11.0
916,Calumet Beach,18.2,1.38,1.375,0.08900000000000001,4.0,11.1
8977,Ohio Street Beach,21.0,1.67,1.806,0.126,3.0,10.7
6506,Osterman Beach,18.6,1.13,1.3559999999999999,0.16699999999999998,3.0,11.6
3827,Ohio Street Beach,19.3,1.02,1.767,0.185,2.0,10.6
10641,Calumet Beach,23.2,0.59,1.383,0.083,3.0,10.3
8433,Calumet Beach,21.8,1.27,1.475,0.091,2.0,11.0
8813,Ohio Street Beach,20.4,3.64,1.771,0.065,3.0,10.7
9724,Montrose Beach,22.8,14.94,1.695,0.381,4.0,10.9
1729,Rainbow Beach,15.7,1.2,1.247,0.203,3.0,11.4
10972,Ohio Street Beach,23.9,22.52,1.774,0.162,3.0,9.8
6378,Ohio Street Beach,20.9,1.45,1.818,0.136,3.0,11.4
11195,Montrose Beach,21.9,0.21,1.663,0.087,3.0,10.2
8896,Ohio Street Beach,22.0,1.83,1.7590000000000001,0.10400000000000001,3.0,10.7
5012,Montrose Beach,14.8,0.79,1.6640000000000001,0.10300000000000001,10.0,12.4
2604,Montrose Beach,19.0,0.05,1.636,0.079,10.0,10.9
793,Calumet Beach,17.5,2.13,1.412,0.145,4.0,11.1
3919,Rainbow Beach,17.3,0.96,1.6380000000000001,0.145,3.0,10.6
6192,Osterman Beach,17.5,0.79,1.426,0.128,2.0,11.7
9888,Osterman Beach,21.9,8.0,1.454,0.376,7.0,10.7
3817,Calumet Beach,19.9,2.34,1.546,0.14800000000000002,2.0,10.3
974,Osterman Beach,14.7,3.9,1.192,0.11800000000000001,3.0,12.3
5339,Calumet Beach,16.3,1.6,1.4409999999999998,0.085,2.0,11.9
11104,Calumet Beach,24.2,0.35,1.3719999999999999,0.1,2.0,10.1
8538,Montrose Beach,20.1,1.97,1.75,0.158,3.0,11.2
6456,Rainbow Beach,21.2,0.82,1.604,0.154,4.0,11.3
4833,Ohio Street Beach,20.2,0.65,1.8419999999999999,0.149,3.0,12.1
857,Ohio Street Beach,15.7,6.55,1.63,0.145,4.0,11.5
2221,63rd Street Beach,18.2,0.81,1.756,0.146,4.0,11.4
1293,63rd Street Beach,16.9,0.73,1.6440000000000001,0.151,3.0,11.7
7390,Ohio Street Beach,17.9,2.9,1.712,0.066,3.0,11.1
8270,Osterman Beach,18.9,2.61,1.3519999999999999,0.115,3.0,11.1
360,Calumet Beach,18.0,2.41,1.412,0.204,4.0,11.4
10727,Osterman Beach,22.6,0.74,1.382,0.141,10.0,10.3
2094,Calumet Beach,18.1,0.95,1.597,0.145,3.0,10.8
6875,Osterman Beach,17.5,3.99,1.347,0.086,8.0,11.4
3368,Rainbow Beach,15.1,0.73,1.444,0.077,5.0,9.1
2335,Osterman Beach,17.3,0.93,1.2990000000000002,0.138,2.0,11.5
7777,Calumet Beach,18.1,4.58,1.521,0.278,8.0,11.2
1987,63rd Street Beach,17.5,1.13,1.8019999999999998,0.168,3.0,11.4
2722,63rd Street Beach,19.1,1.66,1.7919999999999998,0.257,5.0,11.2
4341,63rd Street Beach,15.5,0.56,1.645,0.109,4.0,10.7
9675,Osterman Beach,23.3,11.53,1.433,0.327,4.0,10.8
4093,Calumet Beach,20.1,1.08,1.4580000000000002,0.124,2.0,10.2
8402,Montrose Beach,20.2,2.82,1.693,0.154,6.0,11.3
4067,Ohio Street Beach,17.2,0.84,1.821,0.126,2.0,10.6
1946,Montrose Beach,17.5,1.67,1.665,0.198,3.0,11.0
3756,Osterman Beach,17.3,1.74,1.38,0.252,4.0,11.0
5033,Montrose Beach,15.2,0.81,1.604,0.098,4.0,12.4
2932,63rd Street Beach,19.5,0.84,1.807,0.19,3.0,11.1
6559,Osterman Beach,17.4,1.1,1.348,0.12,2.0,11.6
6687,Calumet Beach,19.5,0.9,1.426,0.053,7.0,11.6
7927,Calumet Beach,19.1,3.94,1.475,0.129,3.0,11.1
1438,Ohio Street Beach,17.8,1.93,1.73,0.07400000000000001,2.0,11.3
164,Calumet Beach,20.3,1.77,1.4680000000000002,0.17800000000000002,3.0,11.6
2317,Osterman Beach,17.4,1.0,1.3159999999999998,0.15,2.0,11.5
2907,Rainbow Beach,20.2,2.48,1.5930000000000002,0.21,4.0,11.0
10019,Ohio Street Beach,23.3,8.06,1.8259999999999998,0.18899999999999997,6.0,10.4
10592,Montrose Beach,22.7,1.72,1.659,0.1,3.0,10.6
11471,Ohio Street Beach,24.0,12.03,1.7469999999999999,0.125,2.0,8.8
3810,Calumet Beach,19.2,1.97,1.508,0.157,2.0,10.3
9380,Montrose Beach,22.3,2.19,1.8119999999999998,0.32299999999999995,4.0,11.0
11134,Osterman Beach,22.7,0.83,1.403,0.142,9.0,10.0
4618,Ohio Street Beach,17.8,0.24,1.757,0.18100000000000002,3.0,12.7
7617,Osterman Beach,18.7,9.12,1.463,0.425,6.0,11.3
1157,Calumet Beach,18.8,0.93,1.463,0.08199999999999999,4.0,11.0
1359,63rd Street Beach,17.1,0.75,1.7169999999999999,0.092,4.0,11.7
1563,Osterman Beach,16.3,1.52,1.1740000000000002,0.17,4.0,11.8
2229,Osterman Beach,16.5,0.73,1.247,0.177,3.0,11.5
302,Calumet Beach,20.0,0.83,1.371,0.114,3.0,11.5
9767,Calumet Beach,24.1,1.09,1.4069999999999998,0.11599999999999999,2.0,10.7
8300,Osterman Beach,19.4,2.86,1.351,0.094,9.0,11.1
6353,Ohio Street Beach,19.6,1.56,1.808,0.079,2.0,11.4
8307,Calumet Beach,19.7,1.54,1.449,0.069,3.0,11.1
672,Calumet Beach,18.7,2.14,1.4880000000000002,0.15,3.0,11.2
3431,Rainbow Beach,15.1,1.15,1.3319999999999999,0.10400000000000001,4.0,9.5
2751,Calumet Beach,20.0,1.46,1.536,0.177,4.0,10.7
2693,Montrose Beach,19.1,0.97,1.7209999999999999,0.36,4.0,10.8
2147,Rainbow Beach,18.4,0.96,1.5019999999999998,0.18100000000000002,3.0,11.2
3963,Montrose Beach,21.5,0.81,1.77,0.174,3.0,10.4
7515,Osterman Beach,17.7,30.25,1.5519999999999998,0.462,8.0,11.2
4637,Rainbow Beach,20.3,0.44,1.604,0.179,3.0,12.1
8180,Ohio Street Beach,19.5,3.62,1.723,0.09,4.0,10.9
4091,Ohio Street Beach,17.4,1.56,1.69,0.153,3.0,10.5
2714,Rainbow Beach,20.1,2.01,1.58,0.39399999999999996,3.0,11.0
9746,Ohio Street Beach,23.8,76.18,1.81,0.184,4.0,10.5
10839,Osterman Beach,23.3,0.56,1.443,0.1,5.0,10.3
10970,Montrose Beach,23.6,0.25,1.7369999999999999,0.222,2.0,10.4
5055,Montrose Beach,14.7,0.35,1.52,0.094,4.0,12.4
10149,Montrose Beach,20.9,8.2,1.713,0.134,4.0,10.8
8913,Calumet Beach,22.9,1.35,1.49,0.14300000000000002,2.0,10.9
918,Montrose Beach,16.7,6.53,1.4980000000000002,0.131,4.0,11.2
7286,Osterman Beach,18.2,4.06,1.376,0.146,4.0,11.4
416,Montrose Beach,16.8,1.11,1.4069999999999998,0.10400000000000001,3.0,11.5
1406,Calumet Beach,18.3,0.85,1.493,0.064,6.0,10.9
213,Calumet Beach,18.1,1.06,1.386,0.095,3.0,11.6
11022,Osterman Beach,23.1,0.86,1.392,0.209,3.0,10.2
9564,Osterman Beach,23.2,10.08,1.4380000000000002,0.341,4.0,10.8
7885,Montrose Beach,17.5,16.66,1.706,0.239,7.0,11.4
4399,Rainbow Beach,16.3,0.44,1.415,0.11,4.0,12.8
1793,Ohio Street Beach,16.6,2.28,1.64,0.18899999999999997,3.0,11.2
4271,Osterman Beach,16.8,0.65,1.1640000000000001,0.129,3.0,10.9
1672,Calumet Beach,19.5,1.0,1.454,0.069,5.0,10.9
6282,Rainbow Beach,22.1,0.94,1.635,0.163,5.0,11.3
4639,63rd Street Beach,20.4,0.26,1.8780000000000001,0.18100000000000002,3.0,12.0
1467,Rainbow Beach,18.5,0.59,1.55,0.13,3.0,11.5
7882,Osterman Beach,17.8,38.11,1.399,0.21,6.0,11.2
8412,Calumet Beach,20.4,1.41,1.4969999999999999,0.114,3.0,11.1
1482,Montrose Beach,17.1,0.4,1.618,0.129,7.0,11.1
402,Montrose Beach,19.1,2.57,1.355,0.13699999999999998,3.0,11.5
3876,Osterman Beach,17.5,0.8,1.4,0.109,3.0,11.0
10926,Montrose Beach,22.5,0.62,1.703,0.141,3.0,10.3
2981,Montrose Beach,20.0,1.71,1.69,0.152,3.0,10.7
5632,63rd Street Beach,17.8,1.18,1.8259999999999998,0.331,5.0,11.5
4082,63rd Street Beach,17.4,0.74,1.8419999999999999,0.115,3.0,10.8
2102,Montrose Beach,17.0,1.15,1.675,0.22699999999999998,3.0,10.9
6789,Montrose Beach,13.9,0.52,1.6580000000000001,0.14,4.0,11.7
2086,Ohio Street Beach,18.8,0.87,1.778,0.19,3.0,11.1
11071,Ohio Street Beach,23.9,27.21,1.8019999999999998,0.168,3.0,9.7
6786,Rainbow Beach,14.1,0.83,1.4780000000000002,0.09300000000000001,9.0,11.1
692,Montrose Beach,16.0,24.79,1.589,0.264,3.0,11.3
1517,Calumet Beach,20.5,1.44,1.412,0.11599999999999999,2.0,10.7
3540,Montrose Beach,17.5,0.76,1.45,0.10099999999999999,3.0,10.6
2051,Rainbow Beach,18.5,0.77,1.555,0.255,2.0,11.3
1153,Montrose Beach,16.8,2.15,1.636,0.105,4.0,11.1
3527,Calumet Beach,19.3,2.16,1.43,0.08900000000000001,3.0,10.4
9568,Osterman Beach,24.0,4.73,1.344,0.195,3.0,10.8
5040,Rainbow Beach,0.0,0.0,1.645,0.096,9.0,9.5
4832,Osterman Beach,17.9,0.61,1.4269999999999998,0.177,3.0,12.4
684,Ohio Street Beach,17.1,3.98,1.694,0.17300000000000001,3.0,11.7
4575,Montrose Beach,17.7,0.0,1.6640000000000001,0.214,2.0,13.3
2283,Rainbow Beach,18.9,0.54,1.5530000000000002,0.21,2.0,11.2
6433,63rd Street Beach,22.0,0.44,1.805,0.192,3.0,11.4
5901,Calumet Beach,19.3,1.1,1.518,0.115,3.0,11.7
5388,63rd Street Beach,15.9,0.43,1.72,0.106,7.0,11.7
11313,Osterman Beach,23.7,0.5,1.4769999999999999,0.168,2.0,9.9
10454,Ohio Street Beach,21.4,22.2,1.794,0.233,5.0,10.2
10967,Osterman Beach,22.4,0.69,1.459,0.163,2.0,10.1
10913,Calumet Beach,22.9,0.58,1.45,0.061,4.0,10.2
3195,Osterman Beach,18.6,0.62,1.358,0.149,3.0,11.2
3943,Rainbow Beach,19.1,0.84,1.646,0.20600000000000002,3.0,10.6
10228,Calumet Beach,22.7,0.73,1.409,0.135,2.0,10.6
117,Calumet Beach,17.8,1.45,1.4409999999999998,0.14400000000000002,3.0,11.6
6664,63rd Street Beach,18.3,0.74,1.804,0.11900000000000001,4.0,11.4
11424,Montrose Beach,23.1,2.17,1.6469999999999998,0.156,4.0,9.9
3497,63rd Street Beach,15.0,1.88,1.8459999999999999,0.205,4.0,11.0
2242,Ohio Street Beach,18.0,0.64,1.7069999999999999,0.105,3.0,11.1
6457,Calumet Beach,21.8,0.69,1.463,0.063,2.0,11.6
5872,63rd Street Beach,19.2,1.13,1.8130000000000002,0.207,4.0,11.5
9516,Osterman Beach,23.0,6.2,1.456,0.324,4.0,10.8
1948,Ohio Street Beach,17.6,1.24,1.7409999999999999,0.13699999999999998,3.0,11.1
10760,Montrose Beach,22.7,0.52,1.65,0.125,3.0,10.5
2985,Calumet Beach,21.3,0.9,1.545,0.126,3.0,10.6
6762,Calumet Beach,19.2,5.76,1.369,0.087,2.0,11.5
9597,Calumet Beach,22.4,1.33,1.446,0.163,4.0,10.8
4445,Ohio Street Beach,19.9,1.91,1.633,0.11800000000000001,2.0,10.5
10598,Ohio Street Beach,23.0,5.96,1.6669999999999998,0.10400000000000001,3.0,10.1
9728,Montrose Beach,22.7,13.27,1.7009999999999998,0.376,4.0,10.9
1117,Montrose Beach,15.5,2.46,1.6019999999999999,0.10800000000000001,3.0,11.2
1822,Osterman Beach,16.4,2.74,1.296,0.239,4.0,11.7
8905,Osterman Beach,20.3,0.65,1.39,0.11900000000000001,7.0,11.0
1335,Osterman Beach,18.0,4.05,1.3530000000000002,0.19899999999999998,4.0,12.0
2946,Osterman Beach,18.2,3.2,1.3430000000000002,0.161,3.0,11.3
6904,63rd Street Beach,13.7,14.43,2.176,0.606,6.0,10.8
3,Calumet Beach,16.2,1.26,1.514,0.147,4.0,11.7
6802,63rd Street Beach,14.4,0.84,1.7690000000000001,0.11599999999999999,7.0,11.3
6631,Ohio Street Beach,21.1,1.22,1.7469999999999999,0.105,3.0,11.3
438,Montrose Beach,18.9,0.57,1.355,0.11199999999999999,2.0,11.5
9958,Osterman Beach,21.1,13.93,1.345,0.248,7.0,10.7
4159,Rainbow Beach,16.3,0.77,1.525,0.126,4.0,10.5
4582,Osterman Beach,17.9,0.36,1.319,0.184,3.0,13.1
